questions,reponses
Le principal représentant de l’école historique allemand au 19 eme siècle ?,Friedrich List
Qu’est-ce que le Zollverein créé sous l’impulsion de Friedrich List en 1834? ,L’union douanière allemande
Selon Max Weber  quel fut le facteur principal à l’origine du développement du capitalisme?,La religion protestante
Qui sont les deux principaux économistes anglais des 18ème et 19ème siècles pour qui l’économie devait davantage reposer sur l’étude de lois universelles plutôt que sur l’histoire? ,Smith et Ricardo
Comment s’appelle l’économiste autrichien qui explique les cycles économiques dans l’histoire par le mouvement des innovations ? ,Joseph Schumpeter
Comment s’appelle la branche de l’économie qui étudie l’histoire à l’aide des mathématiques ? ,La cliométrie
Qui est l’économiste évoquant en 1944 un « encastrement » de l’économie dans le social au Moyen Age? ,Carl Polany
Quel est le siècle où le féodalisme prend ses formes définitives  après avoir fait face aux invasions extérieures? ,XI
Qui est le principal intellectuel du Moyen Age ayant formulé la position de l’Eglise contre l’usure? ,St Thomas d’Aquin
Comment s’appelle le droit oral  caractéristique du féodalisme  auquel s’oppose le droit écrit romain? ,La/les coutumes
Quel est le principal facteur à l’origine du développement des villes dès le 11ème siècle?,Les routes de pèlerinage
Quel est le siècle des grandes catastrophes (climatiques  guerres  épidémies etc.) au Moyen Age? ,XIVème
 Quel est le centre financier de l’Europe aux 15ème et 16ème siècles?,Gêne  Italie
Comment s’appelle le commerce réalisé entre l’Afrique  l’Amérique et l’Europe à partir du 16ème siècle? ,Commerce triangulaire
Quel pays d’Europe continentale domine l’économie mondiale au 17ème siècle? ,Les provinces unies (Hollande)
 Comment s’appelle le courant de pensée selon lequel la richesse d’un pays dépend de la masse de métaux précieux qui y circulent? ,les Mercantilismes
 Quelle part de la richesse mondiale la Chine et l’Inde représentaient-elles encore au 16ème siècle? ,de La moitié (50%)
Qui est l’officier britannique dont la thèse  énoncée en 2002  est que l’Amérique fut « découverte » par les Chinois en 1421? ,Gavin Menzies
Comment s’appelle le système qui vise dès le 15ème siècle à privatiser les terres en Angleterre? ,Le sytème des enclosures
Dans quelle partie du monde l’Angleterre se procure-t-elle une grande part de ses denrées alimentaires aux 16ème et 17ème siècles? ,Europe de l’Est
Quel est le débouché principal au 17ème siècle pour la production industrielle anglaise?,L’ Amérique du Nord
Qui est l’historien antillais selon qui l’esclavage fut indispensable à la révolution industrielle? ,Eric Williams
Quel roi est dénoncé par le duc de Saint-Simon lorsqu’il évoque un « règne de la vile bourgeoisie »?,Louis XIV
 Dans quel pays eut lieu la première révolution bourgeoise?,Les Provinces unies (Pays-Bas)
Qu’appelle-t-on la « Glorieuse Révolution »? ,La guerre civile anglaise de 1688
Comment s’appellent les ouvriers anglais briseurs de machines du début du 19ème siècle? ,les Éluddistes
Comment s’appellent les artisans de l’industrie textile lyonnaise qui se sont révoltés en 1831 et 1834?,Les camus
.Qui est le principal économiste anglais à avoir condamné les aides sociales au 19ème siècle? ,Le comte de Saint-Simon
Qui est le premier « socialiste utopique » français?,Robert Malthus
Qui est à l’origine de la « Conjuration des Egaux » en 1796?,Gracchus Babeuf
Quel est le pays qui investit le plus en Amérique latine au début du 20ème siècle? ,L’ Angleterre
Qui est l’économiste à l’origine des termes « Centre » et « Périphérie » au début du 20ème siècle? ,Werner Sombart
Quelle conférence  réunissant les grandes puissances économiques en 1884  vise à entériner le partage de l’Afrique? ,Conférence de Berlin
Quelle part de la planète l’empire colonial britannique représente-t-il en 1900? ,25%
 Qui est l’auteur de l’Essai sur l’inégalité des races humaines écrit en 1853? ,Arthur Gobineau
Comment s’appelle la théorie selon laquelle les prix des matières premières diminuent dans le temps relativement à ceux des produits industriels? ,La détérioration des termes de l’échange
 En quelle année furent abolies les lois sur le blé au Royaume-Uni? ,1846
Comment s’appelle l’union douanière allemande mise en place en 1834? ,Zollverein
Quel était le plus grand exportateur mondial en 1937? ,L’ Allemagne
 Quelle est l’organisation qui a remplacé en 1995 les accords de libre-échange du GATT?,Organisation mondiale du commerce
Quel pays est devenu le premier exportateur mondial en 1972  devant les Etats-Unis? ,L’ Allemagne
 Quelle est la part des échanges commerciaux internationaux concentrés aujourd’hui en Asie du Sud-Est  en Amérique du Nord et en Europe? ,85%
Comment s’appelle l’opération spéculative qui consiste pour les investisseurs à profiter du différentiel de taux d’intérêt et de change entre deux pays? ,Carry trade
Comment s’appellent les mesures visant à taxer fortement ou à interdire les importations de produits dont les prix de vente sont inférieurs aux prix pratiqués dans leur pays d’origine? ,Les mesures anti-dumping
A quel économiste est attribué le terme de « démondialisation »? ,Walden Bello
Quelle est la loi qui en 1791 interdit sur le sol français les corporations et les coalitions ouvrières?,Loi le chapelier
 Qui est l’auteur de la Fable des Abeilles (1714)? ,Bernard Manville
En quelle année fut créée la Banque de France ?,18 janvier 1800  Paris  France
 Qui est l’économiste allemand ayant théorisé en 1872 que les dépenses publiques ne cesseraient pas d’augmenter dans les décennies suivantes? ,Loi de Adolf Wagner
 Dans quel pays est mis en place pour la première fois un « socialisme d’Etat »? ,L’Allemagne (1880)
 Comment s’appelle le plus fameux ouvrage de John Maynard Keynes écrit en 1936? ,Théorie générale de l’emploi de l’intérêt et de la monnaie
Qui est l’économiste selon qui les inégalités d’un pays finissaient forcément par baisser audessus d’un certain seuil de revenus par habitant ? ,Simon Kuznets
Qui est l’historien ayant écrit La Crise de l’Etat-providence en 1981? ,Pierre Rosanvallon
Comment s’appelle le chancelier allemand à l’origine du théorème « Les profits d’aujourd’hui font les investissements de demain et les emplois d’après-demain » ,Helmut Schmidt
Quel économiste évoque un cercle vicieux du sous-développement en 1953? ,Ragnar Nurkse
 Quel économiste a théorisé en 1960 les étapes de la croissance économique suivies par les pays développés et en développement? ,Rostow
Quelle fut la stratégie d’industrialisation adoptée par l’Algérie de 1962 à 1985 ? ,Les industries industrialisantes
Comment s’appelle la stratégie d’industrialisation adoptée par les pays latino-américains des années 1930 à la décennie 1980 ? ,ISI industrialisation par substitution des importations
Quels sont les pays désignés par le terme « dragons asiatiques » pour insister sur leur réussite économique ? ,la Corée du Sud  Taïwan  Singapour et Hong Kong.
Comment s’appelle l’ensemble de mesures recommandées par le Fonds monétaire international et la Banque mondiale pour lutter contre la crise en Amérique latine puis dans l’ensemble des pays en développement dès la décennie 1980 ?,Le Concensus de Washington
Comment s’appelle l’école de pensée économique selon laquelle l’Etat n’agit pas en faveur de l’intérêt général  mais sous la pression des élections et d’intérêts privés? ,L’ école des publics choice ou choix public 